page;table;row_in_table;COMMUNE;TYPE DE VOIE;LIBELLE DE VOIE;NUMERO (DEBUT DE VOIE);INDICE DE REPETITION DE DEBUT;NUMERO (FIN DE VOIE, INCLUS);INDICE DE REPETITION DE FIN;PARITE;LYCEE DE RATTACHEMENT
3;1;43;TOULOUSE;IMPASSE;ARISTIDE PILLAT;1;;9999;;PI;LGT DES ARENES - TOULOUSE
3;1;44;TOULOUSE;RUE;ARISTOTE;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
3;1;45;TOULOUSE;IMPASSE;ARLETTY;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
3;1;46;TOULOUSE;IMPASSE;ARMAND CARREL;1;;9999;;PI;LPO RAYMOND NAVES - TOULOUSE
3;1;47;TOULOUSE;BOULEVARD;ARMAND DUPORTAL;1;;9999;;PI;LG PIERRE DE FERMAT - TOULOUSE
3;1;48;TOULOUSE;PLACE;ARMAND DUPORTAL;1;;9999;;PI;LG PIERRE DE FERMAT - TOULOUSE
3;1;49;TOULOUSE;PLACE;ARMAND FALLIERES;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
3;1;50;TOULOUSE;AVENUE;ARMAND LEYGUE;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
3;1;51;TOULOUSE;PLACE;ARMAND LEYGUE;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
3;1;52;TOULOUSE;RUE;ARMAND MARRAST;1;;9999;;PI;LGT TOULOUSE-LAUTREC - TOULOUSE
3;1;53;TOULOUSE;RUE;ARMAND PRAVIEL;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
3;1;54;TOULOUSE;RUE;ARMAND SYLVESTRE;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
3;1;55;TOULOUSE;RUE;ARNAUD BARIC;1;;9999;;PI;LGT DES ARENES - TOULOUSE
3;1;56;TOULOUSE;PLACE;ARNAUD BERNARD;1;;9999;;PI;LGT OZENNE - TOULOUSE
3;1;57;TOULOUSE;RUE;ARNAUD BERNARD;1;;9999;;PI;LGT OZENNE - TOULOUSE
3;1;58;TOULOUSE;IMPASSE;ARNAUD DANIEL;1;;9999;;PI;LGT DES ARENES - TOULOUSE
3;1;59;TOULOUSE;RUE;ARNAUD DE MOLLES;1;;9999;;PI;LGT OZENNE - TOULOUSE
3;1;60;TOULOUSE;RUE;ARNAUD VIDAL;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
